,lon,lat,BestGW,SF,NumberOfSensors,NumGWs
357,49.80278294919273,9.946122863460294,"[568412.6134108064, 5517145.479930685]",7,1,1
358,49.80313011045607,9.946134297528548,"[568412.6134108064, 5517145.479930685]",7,1,1
359,49.799172052291155,9.945491313415827,"[568412.6134108064, 5517145.479930685]",7,1,1
360,49.79926860795834,9.948096832566288,"[568412.6134108064, 5517145.479930685]",7,1,1
361,49.79916046799326,9.946092429060908,"[568412.6134108064, 5517145.479930685]",7,1,1
362,49.799270602414296,9.954103635572565,"[568412.6134108064, 5517145.479930685]",7,1,1
363,49.79916932763209,9.945270249112586,"[568412.6134108064, 5517145.479930685]",7,1,1
364,49.79912204242154,9.931158173194655,"[567012.915055662, 5515537.688090251]",9,1,2
365,49.803220894462044,9.939965450203399,"[568412.6134108064, 5517145.479930685]",7,1,1
366,49.802612917861715,9.940420392398185,"[568412.6134108064, 5517145.479930685]",7,1,1
367,49.79517117259348,9.912290781095317,"[565641.6701410958, 5516256.327498261]",7,1,3
368,49.79511302554461,9.912707052569415,"[565641.6701410958, 5516256.327498261]",7,1,3
369,49.794220898458924,9.911528730714862,"[565641.6701410958, 5516256.327498261]",7,1,3
370,49.79462319537348,9.912246331799428,"[565641.6701410958, 5516256.327498261]",7,1,3
371,49.79507788164417,9.912129132677846,"[565641.6701410958, 5516256.327498261]",7,1,3
372,49.79555555669939,9.911372971111177,"[565641.6701410958, 5516256.327498261]",7,1,3
373,49.792079965533986,9.897919649418641,"[563939.2701420422, 5516583.400472528]",7,1,4
374,49.79228214932597,9.897357799986347,"[563939.2701420422, 5516583.400472528]",7,1,4
375,49.792356731170536,9.897033254777716,"[563939.2701420422, 5516583.400472528]",7,1,4
376,49.79245729696495,9.896688620080587,"[563939.2701420422, 5516583.400472528]",7,1,4
377,49.79194554426308,9.897233920630072,"[563939.2701420422, 5516583.400472528]",7,1,4
378,49.79189022481013,9.899488207193603,"[565641.6701410958, 5516256.327498261]",8,1,3
379,49.791540865913696,9.89943977387716,"[565641.6701410958, 5516256.327498261]",8,1,3
380,49.791501749418366,9.89990049999501,"[565641.6701410958, 5516256.327498261]",7,1,3
381,49.792092950241866,9.898688807316656,"[563939.2701420422, 5516583.400472528]",8,1,4
382,49.792116083612406,9.898396414860498,"[563939.2701420422, 5516583.400472528]",8,1,4
383,49.804349399280696,9.931821149972484,"[568412.6134108064, 5517145.479930685]",9,1,1
384,49.799111297521875,9.94507385272091,"[568412.6134108064, 5517145.479930685]",7,1,1
385,49.80484390266665,9.951066125434851,"[568412.6134108064, 5517145.479930685]",7,1,1
386,49.81426984470393,9.961641514332985,"[569776.4845348785, 5519129.897274399]",7,1,2
387,49.83644899401134,9.95979836757002,"[569030.1520236724, 5520886.842245523]",7,1,4
388,49.836418135095826,9.960122650547007,"[569030.1520236724, 5520886.842245523]",7,1,4
389,49.83527392912274,9.954505840391596,"[569030.1520236724, 5520886.842245523]",7,1,4
390,49.835300022429685,9.954346815541115,"[569030.1520236724, 5520886.842245523]",7,1,4
391,49.834968099307844,9.954227549946747,"[569030.1520236724, 5520886.842245523]",7,1,4
392,49.83545315174317,9.954439231631108,"[569030.1520236724, 5520886.842245523]",7,1,4
393,49.8168749160711,9.963247827357263,"[569776.4845348785, 5519129.897274399]",7,1,2
394,49.81635301478585,9.963652508141475,"[569776.4845348785, 5519129.897274399]",7,1,2
395,49.81658792957145,9.963848395535017,"[569776.4845348785, 5519129.897274399]",7,1,2
396,49.81646634534158,9.9637530636632,"[569776.4845348785, 5519129.897274399]",7,1,2
397,49.79055712978924,9.925041064168278,"[567012.915055662, 5515537.688090251]",7,1,2
398,49.79026823630975,9.92476223799286,"[567012.915055662, 5515537.688090251]",7,1,2
399,49.79044187951511,9.924678328076752,"[567012.915055662, 5515537.688090251]",7,1,2
400,49.790889288147234,9.9244184945585,"[567012.915055662, 5515537.688090251]",7,1,2
401,49.7909748485978,9.924104343721895,"[567012.915055662, 5515537.688090251]",7,1,2
402,49.7913380788951,9.924298707516161,"[567012.915055662, 5515537.688090251]",7,1,2
403,49.79183083031794,9.92426600021772,"[567012.915055662, 5515537.688090251]",7,1,2
404,49.793431296158204,9.92683287956559,"[567012.915055662, 5515537.688090251]",7,1,2
405,49.789945495882186,9.924754914396228,"[567012.915055662, 5515537.688090251]",7,1,2
406,49.768960505748794,9.934641348502993,"[567266.2329896999, 5512940.323153469]",7,1,4
407,49.817336755370576,9.902495422605606,"[563939.2701420422, 5516583.400472528]",12,1,4
408,49.80842709938636,10.005891299987297,"[572374.7215118355, 5517816.43567436]",7,1,4
409,49.79232200594462,9.899149143306571,"[565641.6701410958, 5516256.327498261]",8,1,3
410,49.79235314765639,9.899314531035516,"[565641.6701410958, 5516256.327498261]",7,1,3
411,49.79231196307917,9.899473270343353,"[565641.6701410958, 5516256.327498261]",7,1,3
412,49.7923430422089,9.899644899304953,"[565641.6701410958, 5516256.327498261]",7,1,3
413,49.792297249039315,9.899800963876631,"[565641.6701410958, 5516256.327498261]",7,1,3
414,49.79237079936466,9.898972698732802,"[565641.6701410958, 5516256.327498261]",8,1,3
415,49.7899731540164,9.915702311596215,"[565641.6701410958, 5516256.327498261]",7,1,3
